GEOID,HH,POP,HH_Occ,GQ_Inst,GQ_Non,GP
410333607014014,17,27,11,0,0,27
410333616012062,1,11,1,0,0,11
410359702011924,0,0,0,0,0,0
410191800002121,3,3,0,0,0,3
410191800003025,10,23,5,0,0,23
410191800005015,0,0,0,0,0,0
410219601002082,1,5,1,0,0,5
410219601002134,5,4,5,0,0,4
410259602002674,0,0,0,0,0,0
410259602002733,0,0,0,0,0,0
410379601002040,4,9,0,0,0,9
410390008001136,0,0,0,0,0,0
410390003001031,4,14,4,0,0,14
410333616014082,14,28,9,0,0,28
410390014002051,0,0,0,0,0,0
410359707002069,3,10,3,0,0,10
410379601001141,0,0,0,0,0,0
410390007021059,18,37,18,0,0,37
410390008001169,0,0,0,0,0,0
410379601001047,1,0,1,0,0,0
410390008001043,0,0,0,0,0,0
410390002003054,0,0,0,0,0,0
410390002003070,0,0,0,0,0,0
410390005003035,0,0,0,0,0,0
410390008001008,1,0,1,0,0,0
410359706001012,4,3,4,0,0,3
410359706001064,2,8,2,0,0,8
410359706001116,8,17,8,0,0,17
410359717004013,12,37,12,0,0,37
410379601001017,0,0,0,0,0,0
410379601001108,0,0,0,0,0,0
410379601003705,3,11,3,0,0,11
410390003001005,0,0,0,0,0,0
410390015001434,0,0,0,0,0,0
410359707001039,5,11,0,0,0,11
410359707001091,0,0,0,0,0,0
410510102001047,1,10,1,0,2,8
410510102002016,24,62,24,0,0,62
410510104132008,79,227,79,0,0,227
410530202041007,13,23,13,0,0,23
410510105001031,40,111,34,0,0,111
410530052061028,0,0,0,0,0,0
410530202042020,110,273,110,0,0,273
410510102003030,0,0,0,0,0,0
410510102003052,0,0,0,0,0,0
410510105001000,0,0,0,0,0,0
410510105001011,0,0,0,0,0,0
410510105001027,0,0,0,0,0,0
410510102003100,13,32,13,0,0,32
410510105001056,0,0,0,0,0,0
410530203031027,1,2,1,0,0,2
410530203032008,30,65,30,0,0,65
410530053014008,11,26,11,0,0,26
410530203032023,25,85,25,0,0,85
410159501001292,0,0,0,0,0,0
410170012001044,17,42,17,0,0,42
410159501001347,3,2,2,0,0,2
410159501001400,0,0,0,0,0,0
410170012001027,35,81,35,0,0,81
410190300001059,2,7,2,0,0,7
410190300001086,0,0,0,0,0,0
410190500032005,10,33,10,0,0,33
410191500013007,1,3,1,0,0,3
410191600011005,31,57,31,0,0,57
410110003003018,12,29,12,0,0,29
410110011021119,2,8,0,0,0,8
410110011021172,0,0,0,0,0,0
410159501001422,0,0,0,0,0,0
410159501001447,0,0,0,0,0,0
410159501001470,3,7,3,0,0,7
410159501001530,0,0,0,0,0,0
410159501001557,0,0,0,0,0,0
410170012002029,0,0,0,0,0,0
410190300001126,0,0,0,0,0,0
410190300001151,3,11,0,0,0,11
410190500032046,2,5,1,0,0,5
410190500032074,0,0,0,0,0,0
410191600021002,0,0,0,0,0,0
410191600021053,0,0,0,0,0,0
410099702013043,3,14,3,0,0,14
410099702021001,1,1,1,0,0,1
410099702022002,10,12,10,0,0,12
410110011022024,5,16,5,0,0,16
410110011024019,0,0,0,0,0,0
410159501001599,0,0,0,0,0,0
410170008003057,4,9,4,0,0,9
410170013011007,16,39,16,0,0,39
410159501002043,0,0,0,0,0,0
410159501003014,0,0,0,0,0,0
410170012004013,3,13,0,0,0,13
410170012004038,49,134,49,0,0,134
410259602002869,0,0,0,0,0,0
410259602002922,0,0,0,0,0,0
410259602002964,4,9,0,0,0,9
410290011001017,19,48,6,0,0,48
410290011004000,48,130,46,0,0,130
410290025002005,0,0,0,0,0,0
410290025002058,0,0,0,0,0,0
410290025002111,0,0,0,0,0,0
410333607042008,193,358,174,0,0,358
410319603041117,0,0,0,0,0,0
410191900001026,0,0,0,0,0,0
410191900003009,0,0,0,0,0,0
410191900004033,0,0,0,0,0,0
410219601002227,1,0,0,0,0,0
410239601001047,0,0,0,0,0,0
