"TAZ","HHINC1","HHINC2","HHINC3","HHINC4","HHINC5","HHINC6","HHINC7","HHINC8","HHSIZE1","HHSIZE2","HHSIZE3","HHSIZE4","HHWORK0","HHWORK1","HHWORK2","HHWORK3","HHWCHILD","HHWOCHILD"
1344,1,1,1,8,1,0,0,0,1,8,2,1,4,7,1,0,2,10
1345,60,41,43,49,19,39,21,9,76,124,41,40,122,104,49,6,55,226
1346,81,58,67,85,49,29,16,9,103,179,52,60,173,145,68,8,85,309
134609,201,144,167,210,122,72,41,21,255,446,128,149,428,361,168,21,210,768
1347,29,20,22,23,5,25,15,6,37,67,24,17,64,54,24,3,27,118
1348,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1349,2,2,1,2,0,1,1,0,2,4,2,1,3,4,2,0,2,7
1350,14,7,7,3,9,5,2,0,14,21,6,6,19,19,9,0,10,37
1351,2,6,3,3,21,8,5,8,17,25,6,8,24,20,11,1,13,43
1352,10,14,1,6,19,20,6,1,10,37,14,16,34,26,16,1,17,60
1353,8,16,1,5,17,18,7,0,14,36,7,15,34,22,15,1,18,54
1354,3,10,6,4,9,8,6,2,12,21,6,9,18,19,10,1,11,37
1355,3,7,5,8,10,8,4,6,10,25,6,10,23,17,10,1,10,41
1356,12,14,8,12,17,10,6,1,16,44,9,11,25,32,20,3,15,65
2000,42,14,26,32,41,9,15,14,54,102,19,18,83,55,48,7,32,161
2001,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2002,12,22,24,31,37,14,18,18,40,64,25,47,74,55,41,6,60,116
200201,2,3,3,4,6,2,3,2,6,9,3,7,10,8,6,1,9,16
2003,2,6,6,7,11,2,3,6,7,21,6,9,17,15,10,1,15,28
2004,3,2,2,2,5,0,0,2,0,14,0,2,9,5,2,0,3,13
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,9,12,15,9,11,7,4,1,21,25,8,14,32,24,12,0,23,45
2007,54,70,86,58,67,47,17,12,152,135,65,59,194,141,74,2,117,294
2008,33,38,49,31,38,25,9,7,50,87,38,55,110,78,41,1,80,150
2009,48,17,14,12,8,7,1,4,35,46,8,22,49,33,25,4,31,80
2010,43,14,11,8,6,6,0,3,31,33,13,14,39,28,21,3,24,67
2011,12,15,19,13,13,11,3,3,19,35,13,22,42,31,16,0,29,60
2012,2,1,1,0,2,0,0,0,0,4,0,2,1,1,4,0,2,4
2013,13,18,23,14,17,11,4,2,30,33,15,24,48,35,19,0,33,69
2014,155,52,44,34,21,22,0,10,207,91,19,21,148,102,77,11,40,298
2015,17,9,24,18,12,15,12,3,23,48,15,24,49,34,24,3,30,80
2016,9,5,12,10,6,9,6,1,14,24,8,12,25,18,14,1,14,44
2017,10,7,16,16,20,17,9,7,13,55,20,14,45,28,26,3,30,72
2018,2,1,5,3,5,5,3,2,6,13,1,6,12,7,7,0,7,19
2019,18,8,22,20,9,16,12,3,38,41,17,12,48,33,24,3,21,87
2020,11,7,15,11,6,10,8,2,19,24,10,17,30,21,17,2,21,49
2021,13,6,16,13,11,13,9,2,22,22,20,19,37,25,19,2,27,56
2022,11,6,15,13,7,10,7,2,13,27,16,15,32,21,16,2,25,46
2023,40,14,12,8,5,4,0,2,24,20,17,24,38,25,20,2,42,43
2024,118,38,32,26,14,15,0,7,64,79,65,42,110,76,57,7,126,124
2025,35,15,14,27,25,12,4,4,34,56,21,25,60,39,31,6,35,101
2026,23,12,29,25,14,20,15,5,51,57,12,23,63,43,32,5,26,117
2027,29,12,11,21,21,9,3,2,37,34,15,22,47,33,25,3,30,78
2028,10,5,4,8,9,3,1,0,15,14,4,7,18,11,10,1,9,31
2029,21,8,6,15,11,4,2,0,27,19,6,15,31,19,15,2,15,52
2030,22,13,31,30,27,26,18,10,36,89,19,33,78,49,44,6,43,134
2031,18,9,14,18,23,13,5,5,21,53,18,13,47,29,26,3,25,80
2032,9,6,14,14,21,14,7,7,20,43,14,15,41,24,24,3,17,75
2033,3,2,6,6,7,5,2,3,5,16,6,7,15,9,9,1,9,25
2034,43,26,36,56,79,36,17,8,82,86,71,62,130,93,68,10,107,194
2035,1,1,2,3,2,2,1,0,5,3,1,3,5,5,2,0,4,8
2036,52,21,19,38,31,14,6,2,40,51,33,59,82,54,41,6,100,83
2037,15,6,7,13,13,6,2,1,7,28,9,19,28,18,15,2,20,43
2038,29,12,19,32,51,20,13,4,37,77,19,47,78,56,40,6,64,116
2039,10,16,17,24,23,14,3,2,18,48,18,25,47,35,22,5,39,70
2040,17,4,9,15,25,9,6,2,17,27,18,25,39,26,20,2,31,56
2041,17,12,27,23,37,25,12,12,30,61,28,46,73,44,43,5,64,101
2042,7,6,8,6,8,2,2,4,11,15,8,9,22,14,6,1,17,26
